#Thorlabs FTS
[SpectrumHeader]
#Date;20200128
#Time;19020057
#GMTTime;18020057
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;3
#SSmoothParam1;100
#SSmoothParam2;2
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.000000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;Smoothed
#Comment;""
[Data]
3.329044495e+02;6.612458383e-04
3.330110168e+02;5.909061874e-04
3.331175842e+02;7.379335002e-04
3.332241821e+02;5.782680237e-04
3.333307800e+02;7.082406082e-04
3.334373779e+02;5.858377554e-04
3.335439758e+02;6.957794540e-04
3.336506042e+02;5.974185769e-04
3.337572327e+02;7.461025962e-04
3.338638611e+02;5.986494361e-04
3.339704895e+02;7.100574439e-04
3.340771484e+02;5.945075536e-04
3.341838074e+02;7.141346578e-04
3.342904663e+02;5.629105144e-04
3.343971558e+02;6.837708061e-04
3.345038147e+02;5.817374913e-04
3.346105042e+02;7.389600505e-04
3.347172241e+02;5.993322120e-04
3.348239136e+02;7.272112416e-04
3.349306335e+02;5.856868811e-04
3.350373535e+02;6.937711150e-04
3.351440735e+02;5.825672997e-04
3.352508240e+02;7.221340784e-04
3.353575745e+02;6.128261448e-04
3.354643250e+02;7.345495978e-04
3.355710754e+02;5.873977789e-04
3.356778564e+02;7.230283227e-04
3.357846375e+02;6.325974246e-04
3.358914185e+02;7.488824776e-04
3.359982300e+02;6.014917744e-04
3.361050110e+02;7.152587059e-04
3.362118225e+02;5.783910747e-04
3.363186646e+02;6.938868901e-04
3.364254761e+02;6.044493639e-04
3.365323181e+02;7.494960446e-04
3.366391602e+02;6.363425637e-04
3.367460022e+02;7.732236991e-04
3.368528748e+02;6.461996236e-04
3.369597168e+02;7.600659737e-04
3.370666199e+02;5.879004020e-04
3.371734924e+02;7.274436066e-04
3.372803955e+02;6.507913349e-04
3.373872681e+02;7.608552696e-04
3.374942017e+02;6.258149515e-04
3.376011047e+02;7.223373395e-04
3.377080383e+02;5.996616674e-04
3.378149414e+02;7.367228973e-04
3.379219055e+02;6.230364088e-04
3.380288391e+02;7.345427875e-04
3.381358032e+02;6.255609333e-04
3.382427673e+02;8.011077298e-04
3.383497314e+02;6.694902549e-04
3.384567261e+02;7.347454666e-04
3.385636902e+02;6.211747532e-04
3.386706848e+02;7.418051828e-04
3.387777100e+02;6.063795299e-04
3.388847046e+02;7.280730060e-04
3.389917297e+02;6.002341397e-04
3.390987549e+02;7.334817201e-04
3.392057800e+02;6.461773301e-04
3.393128357e+02;7.614444476e-04
3.394198914e+02;6.347624003e-04
3.395269470e+02;7.394276327e-04
3.396340027e+02;5.898727686e-04
3.397410889e+02;7.728231139e-04
3.398481750e+02;6.403506268e-04
3.399552612e+02;7.137625362e-04
3.400623474e+02;5.860014935e-04
3.401694641e+02;7.346131606e-04
3.402765808e+02;6.393288495e-04
3.403836975e+02;7.622164558e-04
3.404908447e+02;6.247105775e-04
3.405979614e+02;7.712906227e-04
3.407051086e+02;6.715421332e-04
3.408122559e+02;7.736023399e-04
3.409194336e+02;6.175263552e-04
3.410266113e+02;7.178172818e-04
3.411337891e+02;6.103350315e-04
3.412409668e+02;7.372007822e-04
3.413481750e+02;6.210088613e-04
3.414553528e+02;7.632916095e-04
3.415625610e+02;6.260594237e-04
3.416697998e+02;7.464237860e-04
3.417770081e+02;6.454484537e-04
3.418842468e+02;7.347558858e-04
3.419914856e+02;5.793980672e-04
3.420987549e+02;7.158668013e-04
3.422059937e+02;6.261615781e-04
3.423132629e+02;7.784796762e-04
3.424205322e+02;6.423574523e-04
3.425278320e+02;7.513117162e-04
3.426351013e+02;6.398406113e-04
3.427424011e+02;7.561818347e-04
3.428497009e+02;6.319117383e-04
3.429570313e+02;7.401711773e-04
3.430643311e+02;6.335339858e-04
3.431716614e+02;7.590599125e-04
3.432790222e+02;6.338455132e-04
3.433863525e+02;7.570351590e-04
