#Thorlabs FTS
[SpectrumHeader]
#Date;20200128
#Time;19052957
#GMTTime;18052957
#XAxisUnit;nm_air
#YAxisUnit;intensity
#Average;1000
#RollingAverage;0
#SpectrumSmooth;3
#SSmoothParam1;100
#SSmoothParam2;2
#SSmoothParam3;0
#SSmoothParam4;0
#IntegrationTime;1.000000
#TriggerMode;0
#InterferometerSerial;M00439120
#Source;
#AirMeasureOpt;0
#WnrMin;13242.123047
#WnrMax;30038.648438
#Length;3648
#Resolution;0.0000000000e+00
#ADC;0
#Instrument;0
#InstrModel;CCS100
#Type;emission
#AirTemp;0.00
#AirPressure;0.00
#AirRelHum;0.00
#Name;Smoothed
#Comment;""
[Data]
3.329044495e+02;9.036074625e-04
3.330110168e+02;3.939019225e-04
3.331175842e+02;9.278071229e-04
3.332241821e+02;4.736648989e-04
3.333307800e+02;9.116033907e-04
3.334373779e+02;4.555104824e-04
3.335439758e+02;8.915492217e-04
3.336506042e+02;4.515461624e-04
3.337572327e+02;8.890291792e-04
3.338638611e+02;4.611281329e-04
3.339704895e+02;9.707180434e-04
3.340771484e+02;4.545335833e-04
3.341838074e+02;9.055283736e-04
3.342904663e+02;4.070110153e-04
3.343971558e+02;9.158300236e-04
3.345038147e+02;4.769770894e-04
3.346105042e+02;8.794526802e-04
3.347172241e+02;4.397477896e-04
3.348239136e+02;9.712678147e-04
3.349306335e+02;3.872152593e-04
3.350373535e+02;9.489093209e-04
3.351440735e+02;4.406568478e-04
3.352508240e+02;9.144140058e-04
3.353575745e+02;4.869247496e-04
3.354643250e+02;9.329305612e-04
3.355710754e+02;4.364302149e-04
3.356778564e+02;9.143752977e-04
3.357846375e+02;5.017058575e-04
3.358914185e+02;9.281155653e-04
3.359982300e+02;4.861671478e-04
3.361050110e+02;9.268652066e-04
3.362118225e+02;5.226975190e-04
3.363186646e+02;8.751238929e-04
3.364254761e+02;4.709498608e-04
3.365323181e+02;9.054320399e-04
3.366391602e+02;4.806882644e-04
3.367460022e+02;8.868770092e-04
3.368528748e+02;4.724106402e-04
3.369597168e+02;9.326520376e-04
3.370666199e+02;4.268786288e-04
3.371734924e+02;9.136816370e-04
3.372803955e+02;4.673186631e-04
3.373872681e+02;9.057674906e-04
3.374942017e+02;4.837030428e-04
3.376011047e+02;9.090599488e-04
3.377080383e+02;4.404478241e-04
3.378149414e+02;8.824883262e-04
3.379219055e+02;4.750980297e-04
3.380288391e+02;9.134650463e-04
3.381358032e+02;4.470946442e-04
3.382427673e+02;9.443059680e-04
3.383497314e+02;5.256945151e-04
3.384567261e+02;8.650827222e-04
3.385636902e+02;5.071931519e-04
3.386706848e+02;9.376857779e-04
3.387777100e+02;5.421920214e-04
3.388847046e+02;9.199990309e-04
3.389917297e+02;5.218113074e-04
3.390987549e+02;9.278825601e-04
3.392057800e+02;5.269071553e-04
3.393128357e+02;8.955051890e-04
3.394198914e+02;4.986676504e-04
3.395269470e+02;9.560342296e-04
3.396340027e+02;4.963320098e-04
3.397410889e+02;9.974023560e-04
3.398481750e+02;5.465830327e-04
3.399552612e+02;8.833364700e-04
3.400623474e+02;4.409072862e-04
3.401694641e+02;9.815910598e-04
3.402765808e+02;5.170679069e-04
3.403836975e+02;9.331611218e-04
3.404908447e+02;4.930963041e-04
3.405979614e+02;9.500293527e-04
3.407051086e+02;5.544236628e-04
3.408122559e+02;9.335589712e-04
3.409194336e+02;4.491427972e-04
3.410266113e+02;8.836493944e-04
3.411337891e+02;5.170605145e-04
3.412409668e+02;9.414272499e-04
3.413481750e+02;4.430511617e-04
3.414553528e+02;9.275650373e-04
3.415625610e+02;4.884721129e-04
3.416697998e+02;9.572000708e-04
3.417770081e+02;4.895479069e-04
3.418842468e+02;9.675361216e-04
3.419914856e+02;5.197198479e-04
3.420987549e+02;9.503935580e-04
3.422059937e+02;5.116731627e-04
3.423132629e+02;9.420725401e-04
3.424205322e+02;4.728104977e-04
3.425278320e+02;9.058768628e-04
3.426351013e+02;5.268770037e-04
